Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
22.06.2020	14:28:45	Einfahren 15 Zyklen	8,017821	1498,000000	4,457134	0,042883	4,409569	0,042785	11,157711	0,107352	3,750000	1,531750	-4137,530192	2632,396537	0,000000	0,000000	-44,173133	13282,360072	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:49	Einfahren 15 Zyklen	8,016927	1998,000000	5,925740	0,053030	5,878176	0,052931	11,121885	0,099530	3,750000	1,531503	-4140,471883	2632,383374	0,000000	0,000000	-44,207123	13282,641615	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:52	Einfahren 15 Zyklen	10,020233	499,700000	1,377878	0,045321	1,330313	0,045222	10,340286	0,340113	3,750000	1,914210	-3759,053431	2673,648574	0,000000	0,000000	-39,836185	12400,039046	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:56	Einfahren 15 Zyklen	10,016206	998,000000	2,704570	0,053557	2,657006	0,053458	10,162464	0,201240	3,750000	1,913441	-3758,364950	2682,663774	0,000000	0,000000	-39,828360	12207,217050	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:00	Einfahren 15 Zyklen	10,027083	1498,000000	4,020986	0,050855	3,973422	0,050757	10,065886	0,127308	3,750000	1,915518	-3755,923972	2682,634157	0,000000	0,000000	-39,800620	12207,850523	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:03	Einfahren 15 Zyklen	10,022970	1998,000000	5,340893	0,055467	5,293329	0,055368	10,024199	0,104105	3,750000	1,914713	-3761,118874	2682,652256	0,000000	0,000000	-39,859661	12207,463401	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:06	Einfahren 15 Zyklen	12,002824	499,800000	1,258563	0,049340	1,210998	0,049241	9,442998	0,370199	3,750000	2,292837	-3388,024763	2723,201760	0,000000	0,000000	-35,652236	11340,168545	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:11	Einfahren 15 Zyklen	12,014940	998,000000	2,477339	0,055006	2,429774	0,054907	9,308638	0,206686	3,750000	2,295283	-3380,514061	2732,391386	0,000000	0,000000	-35,568210	11143,615829	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:14	Einfahren 15 Zyklen	12,025094	1498,000000	3,688802	0,051646	3,641238	0,051547	9,234317	0,129287	3,750000	2,297226	-3379,512634	2732,346959	0,000000	0,000000	-35,557009	11144,566039	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:17	Einfahren 15 Zyklen	12,016403	1998,000000	4,894006	0,053886	4,846442	0,053787	9,185447	0,101137	3,750000	2,295537	-3382,579504	2732,368350	0,000000	0,000000	-35,591315	11144,108531	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:20	Einfahren 15 Zyklen	15,012011	499,700000	1,137206	0,052964	1,089641	0,052865	8,534163	0,397466	3,750000	2,867632	-2825,035036	2788,369997	0,000000	0,000000	-29,424694	9946,314828	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:25	Einfahren 15 Zyklen	15,009137	998,000000	2,238643	0,044992	2,191079	0,044893	8,411736	0,169057	3,750000	2,867208	-2818,713528	2797,683045	0,000000	0,000000	-29,355566	9747,122272	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:28	Einfahren 15 Zyklen	14,984027	1498,000000	3,321041	0,046375	3,273477	0,046276	8,313688	0,116093	3,750000	2,862513	-2826,662355	2797,715954	0,000000	0,000000	-29,442493	9746,418412	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:31	Einfahren 15 Zyklen	14,983184	1998,000000	4,412926	0,046968	4,365362	0,046869	8,282519	0,088154	3,750000	2,862250	-2828,289674	2797,799870	0,000000	0,000000	-29,460292	9744,623567	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:35	Einfahren 15 Zyklen	18,014345	499,700000	1,038842	0,054677	0,991278	0,054578	7,795992	0,410321	3,750000	3,441282	-2262,233030	2867,818939	0,000000	0,000000	-23,336575	8247,017606	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:39	Einfahren 15 Zyklen	18,010094	998,000000	2,041455	0,054018	1,993890	0,053919	7,670796	0,202973	3,750000	3,440523	-2255,097862	2877,500583	0,000000	0,000000	-23,260234	8039,941334	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:42	Einfahren 15 Zyklen	18,013054	1498,000000	3,038072	0,054413	2,990508	0,054314	7,605321	0,136214	3,750000	3,441029	-2258,289911	2877,406794	0,000000	0,000000	-23,294384	8041,947342	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:29:46	Einfahren 15 Zyklen	18,012021	1998,000000	4,041871	0,050131	3,994307	0,050032	7,586094	0,094089	3,750000	3,440894	-2259,103570	2877,357431	0,000000	0,000000	-23,303090	8043,003136	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
