Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
06.07.2020	13:35:36	Messung I (5 Zyklen)	4,053115	999,000000	49,234401	0,045387	49,158717	0,043213	110,888290	0,102223	2,250000	0,464484	-5164,806274	2455,979641	0,000000	0,000000	-56,324857	17055,660678	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:40	Messung I (5 Zyklen)	4,047579	1498,000000	73,802534	0,047100	73,726850	0,044926	110,851603	0,070744	2,250000	0,464021	-5165,682522	2455,968123	0,000000	0,000000	-56,335475	17055,907026	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:43	Messung I (5 Zyklen)	4,039347	1998,000000	98,366431	0,049999	98,290747	0,047825	110,773007	0,056305	2,250000	0,463025	-5164,806274	2455,910534	0,000000	0,000000	-56,324857	17057,138771	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:46	Messung I (5 Zyklen)	9,838104	499,700000	17,383861	0,039194	17,308177	0,037020	78,274337	0,176479	2,250000	1,127839	-4546,425271	2511,021598	0,000000	0,000000	-48,941019	15878,393337	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:51	Messung I (5 Zyklen)	9,927394	999,000000	34,292771	0,051712	34,217087	0,049538	77,235970	0,116468	2,250000	1,137876	-4535,221809	2519,645152	0,000000	0,000000	-48,809202	15693,948064	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:54	Messung I (5 Zyklen)	9,936515	1498,000000	51,266203	0,036032	51,190519	0,033857	77,001974	0,054120	2,250000	1,138977	-4535,346987	2519,589209	0,000000	0,000000	-48,810674	15695,144618	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:57	Messung I (5 Zyklen)	9,943829	1998,000000	68,147774	0,042752	68,072090	0,040578	76,742989	0,048144	2,250000	1,139829	-4535,722522	2519,574400	0,000000	0,000000	-48,815092	15695,461353	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:00	Messung I (5 Zyklen)	12,042100	499,700000	15,226966	0,042291	15,151282	0,040116	68,562485	0,190422	2,250000	1,380209	-4292,500991	2558,025834	0,000000	0,000000	-45,969848	14873,041159	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:05	Messung I (5 Zyklen)	12,037711	999,000000	30,187684	0,040841	30,112001	0,038667	67,990280	0,091984	2,250000	1,379870	-4290,936262	2566,626363	0,000000	0,000000	-45,951645	14689,088357	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:08	Messung I (5 Zyklen)	12,052225	1499,000000	45,131666	0,043872	45,055982	0,041698	67,742661	0,065852	2,250000	1,381452	-4289,934835	2566,598391	0,000000	0,000000	-45,939995	14689,686635	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:11	Messung I (5 Zyklen)	12,049959	1998,000000	60,033760	0,045453	59,958076	0,043279	67,605585	0,051186	2,250000	1,381126	-4292,939116	2566,604973	0,000000	0,000000	-45,974946	14689,545863	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:15	Messung I (5 Zyklen)	15,012250	499,700000	13,326623	0,057444	13,250939	0,055270	60,005807	0,258652	2,250000	1,720534	-3958,587734	2600,974202	0,000000	0,000000	-42,113739	13954,438089	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:19	Messung I (5 Zyklen)	15,022174	999,000000	26,416765	0,038733	26,341081	0,036559	59,497218	0,087236	2,250000	1,721974	-3953,768367	2609,638912	0,000000	0,000000	-42,058497	13769,112554	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:22	Messung I (5 Zyklen)	15,018904	1498,000000	39,481126	0,045782	39,405442	0,043608	59,300756	0,068765	2,250000	1,721402	-3956,522291	2609,559932	0,000000	0,000000	-42,090062	13770,801810	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:26	Messung I (5 Zyklen)	15,012078	1998,000000	52,502521	0,045716	52,426837	0,043542	59,124460	0,051483	2,250000	1,720583	-3960,340231	2609,584613	0,000000	0,000000	-42,133830	13770,273918	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:29	Messung I (5 Zyklen)	18,020325	499,700000	11,796414	0,039458	11,720730	0,037283	53,115731	0,177666	2,250000	2,065423	-3621,419823	2645,632198	0,000000	0,000000	-38,276500	12999,268547	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:33	Messung I (5 Zyklen)	18,029332	999,000000	23,403247	0,039985	23,327563	0,037810	52,710016	0,090055	2,250000	2,066600	-3618,665899	2654,515758	0,000000	0,000000	-38,245385	12809,262132	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:37	Messung I (5 Zyklen)	18,018518	1498,000000	34,965642	0,045914	34,889958	0,043740	52,518488	0,068963	2,250000	2,065360	-3620,293218	2654,410452	0,000000	0,000000	-38,263771	12811,514477	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:40	Messung I (5 Zyklen)	18,019293	1998,000000	46,485979	0,039392	46,410295	0,037218	52,349075	0,044360	2,250000	2,065350	-3618,040007	2654,453233	0,000000	0,000000	-38,238314	12810,599462	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:43	Messung I (5 Zyklen)	20,019221	499,700000	10,960419	0,052568	10,884735	0,050394	49,351495	0,236700	2,250000	2,294586	-3400,167064	2666,135636	0,000000	0,000000	-35,788133	12560,729870	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:48	Messung I (5 Zyklen)	20,038439	999,000000	21,754510	0,054018	21,678826	0,051844	48,996644	0,121662	2,250000	2,296806	-3392,218238	2675,024137	0,000000	0,000000	-35,699162	12370,617770	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:51	Messung I (5 Zyklen)	20,022663	1498,000000	32,495395	0,053952	32,419711	0,051778	48,808170	0,081036	2,250000	2,294895	-3401,606616	2674,986292	0,000000	0,000000	-35,804249	12371,427207	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:54	Messung I (5 Zyklen)	20,016726	1998,000000	43,223269	0,038996	43,147585	0,036822	48,674852	0,043915	2,250000	2,294396	-3396,098767	2675,037300	0,000000	0,000000	-35,742593	12370,336226	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:57	Messung I (5 Zyklen)	21,009621	499,700000	10,647934	0,052898	10,572250	0,050724	47,944468	0,238183	2,250000	2,407982	-3308,473910	2674,899086	0,000000	0,000000	-34,763589	12373,292430	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
