Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
06.07.2020	13:39:09	Messung I (5 Zyklen)	3,925992	1998,000000	108,194650	0,046968	108,118966	0,044794	121,840822	0,052892	2,250000	0,450088	-5175,634200	2454,704456	0,000000	0,000000	-56,456099	17082,935027	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:12	Messung I (5 Zyklen)	9,879092	499,700000	18,773015	0,047693	18,697331	0,045519	84,529285	0,214747	2,250000	1,132428	-4536,473592	2511,816327	0,000000	0,000000	-48,823927	15861,395234	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:17	Messung I (5 Zyklen)	9,894810	999,000000	36,947494	0,040775	36,871810	0,038601	83,215077	0,091836	2,250000	1,134191	-4537,349841	2520,331285	0,000000	0,000000	-48,834235	15679,272680	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:20	Messung I (5 Zyklen)	9,895843	1498,000000	55,255825	0,053886	55,180141	0,051712	82,994396	0,080937	2,250000	1,134355	-4534,282971	2520,298377	0,000000	0,000000	-48,798159	15679,976535	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:23	Messung I (5 Zyklen)	9,905365	1998,000000	73,460723	0,039523	73,385039	0,037349	82,726039	0,044508	2,250000	1,135328	-4537,662787	2520,298377	0,000000	0,000000	-48,837916	15679,976535	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:26	Messung I (5 Zyklen)	12,055839	499,700000	16,353113	0,050394	16,277429	0,048220	73,633188	0,226910	2,250000	1,381830	-4290,185192	2558,397695	0,000000	0,000000	-45,942908	14865,087586	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:31	Messung I (5 Zyklen)	12,044480	998,000000	32,371731	0,041698	32,296047	0,039523	72,982360	0,094008	2,250000	1,380626	-4287,493857	2566,869883	0,000000	0,000000	-45,911602	14683,879821	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:34	Messung I (5 Zyklen)	12,050934	1498,000000	48,389107	0,045453	48,313423	0,043279	72,680568	0,068270	2,250000	1,381258	-4288,933409	2566,860010	0,000000	0,000000	-45,928346	14684,090978	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:37	Messung I (5 Zyklen)	12,048037	1998,000000	64,341092	0,046968	64,265408	0,044794	72,456184	0,052892	2,250000	1,380958	-4289,872246	2566,825457	0,000000	0,000000	-45,939267	14684,830027	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:39:41	Messung I (5 Zyklen)	15,019076	499,700000	14,176718	0,051317	14,101034	0,049142	63,833529	0,231063	2,250000	1,721366	-3956,459702	2601,500732	0,000000	0,000000	-42,089345	13943,176379	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
