Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
276.28458575	0.16064138	262.36280586	131.10108224	15.40676975															
274.06308742	0.10964429	260.14130753	130.01583162	15.40676975															
274.74039803	0.04550317	260.81861814	130.38655748	15.40676975															
274.70011449	0.06169107	260.77833459	130.35832176	15.40676975															
					187.42951771	0.22343156	177.40028641	88.58842742	11.09901598										
					188.57298096	0.1061761	178.54374966	89.21878678	11.09901598										
					188.83323264	0.07123248	178.80400134	89.36638443	11.09901598										
					188.71591967	0.04388514	178.68668837	89.32140162	11.09901598										
231.96331549	0.26397088	218.04596333	108.89099622	15.40186972															
233.88241984	0.08315381	219.96506768	109.94095694	15.40186972															
234.70839453	0.06298648	220.79104237	110.36402794	15.40186972															
235.02653341	0.05550863	221.10918125	110.52683631	15.40186972															
					179.57459976	0.25804233	169.52710398	84.63453083	11.11922866										
					180.85948272	0.07894539	170.81198694	85.36652077	11.11922866										
					181.19209196	0.06166722	171.14459618	85.54146448	11.11922866										
					181.20792605	0.05118056	171.16043027	85.55462486	11.11922866										
245.90214128	0.16904643	232.0047392	115.91784639	15.37979164															
245.80526678	0.1061761	231.9078647	115.9008443	15.37979164															
246.48272113	0.07205607	232.58531904	116.25663148	15.37979164															
246.63384572	0.06255631	232.73644363	116.33694366	15.37979164															
					183.18834801	0.12750901	173.16841106	86.52045103	11.08873022										
					184.38722194	0.1061761	174.367285	87.13055445	11.08873022										
					184.7902495	0.0705741	174.77031255	87.34986923	11.08873022										
					184.79491742	0.04771772	174.77498047	87.36363138	11.08873022										
230.34307835	0.22590054	216.40959519	108.09184733	15.41972136															
230.85572645	0.07597695	216.9222433	108.42313317	15.41972136															
231.63023031	0.07898531	217.69674715	108.80888092	15.41972136															
231.82468093	0.04499812	217.89119777	108.92309983	15.41972136															
					177.82236592	0.20118071	167.79422767	83.79652348	11.09780633										
					179.13249875	0.10097946	169.1043605	84.50169052	11.09780633										
					179.45717123	0.06842874	169.42903298	84.68030212	11.09780633										
					179.4826295	0.03547673	169.45449125	84.70950726	11.09780633										
258.00171853	0.24469182	244.1116006	121.93345439	15.37173051															
258.33243111	0.07448898	244.44231319	122.1839121	15.37173051															
259.35324182	0.04847213	245.4631239	122.70732588	15.37173051															
259.65184497	0.04227853	245.76172704	122.85972426	15.37173051															
					180.35381479	0.20364969	170.34073456	85.06854244	11.08114212										
					181.26325401	0.08439379	171.25017378	85.58289	11.08114212										
					181.56962033	0.06430574	171.5565401	85.74611718	11.08114212										
					181.57247372	0.05897147	171.55939349	85.75021101	11.08114212										
